Name,Age Bracket,Gender,Ethnicity,Job Title,Department,Date Survey Completed,Job Satisfaction,Work-Life Balance,Management Support,Team Collaboration,Workload Fairness,Career Development Opportunities,Workplace Inclusivity,Company Communication,Compensation Satisfaction,Job Security,Overall Engagement
John Doe,25-34,Female,Asian,Product Manager,Product Development,10/5/2024,Disagree,Strongly Agree,Neutral,Neutral,Neutral,Disagree,Agree,Strongly Agree,Strongly Agree,Agree,Strongly Agree
Jane Smith,18-24,Female,Middle Eastern,Operations Manager,Sales,10/7/2024,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Disagree,Neutral,Neutral,Neutral,Agree,Neutral
Carlos Reyes,45-54,Female,Indian,UX Designer,Consulting,10/8/2024,Neutral,Strongly Disagree,Agree,Disagree,Strongly Agree,Agree,Agree,Strongly Disagree,Neutral,Strongly Agree,Strongly Agree
Emily Zhang,35-44,Male,Caucasian,UX Designer,HR,10/7/2024,Neutral,Agree,Agree,Strongly Disagree,Strongly Disagree,Strongly Agree,Agree,Strongly Disagree,Strongly Disagree,Agree,Neutral
Michael Johnson,18-24,Female,Caucasian,UX Designer,Product Development,10/7/2024,Agree,Strongly Agree,Disagree,Neutral,Strongly Disagree,Disagree,Disagree,Disagree,Strongly Disagree,Neutral,Disagree
Sara Ahmed,45-54,Male,Middle Eastern,Business Consultant,Operations,10/9/2024,Disagree,Strongly Disagree,Neutral,Neutral,Agree,Agree,Disagree,Neutral,Agree,Strongly Disagree,Neutral
Tom Davis,25-34,Male,Caucasian,UX Designer,HR,10/8/2024,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Agree,Strongly Disagree,Strongly Agree,Strongly Disagree,Neutral,Neutral,Agree
Linda Lopez,18-24,Male,African American,Customer Support,Product Development,10/10/2024,Disagree,Agree,Neutral,Strongly Disagree,Strongly Disagree,Agree,Neutral,Agree,Disagree,Disagree,Agree
Raj Patel,35-44,Female,Indian,Product Manager,IT,10/7/2024,Strongly Disagree,Strongly Agree,Strongly Disagree,Agree,Strongly Agree,Agree,Agree,Neutral,Agree,Strongly Agree,Disagree
Amara Njeri,18-24,Male,African American,HR Specialist,Design,10/10/2024,Strongly Agree,Strongly Agree,Agree,Agree,Strongly Agree,Strongly Disagree,Neutral,Agree,Neutral,Neutral,Strongly Disagree
Helen Martin,45-54,Male,Asian,HR Specialist,Consulting,10/5/2024,Neutral,Neutral,Strongly Disagree,Agree,Strongly Agree,Strongly Agree,Strongly Agree,Strongly Disagree,Disagree,Strongly Disagree,Neutral
Peter Brown,18-24,Female,Indian,HR Specialist,Sales,10/12/2024,Strongly Disagree,Disagree,Agree,Strongly Agree,Neutral,Agree,Neutral,Strongly Agree,Neutral,Agree,Agree
Nina Roberts,25-34,Female,Middle Eastern,Sales Executive,Sales,10/11/2024,Disagree,Agree,Strongly Disagree,Strongly Disagree,Neutral,Agree,Neutral,Agree,Disagree,Agree,Disagree
Jake Williams,18-24,Female,Hispanic,Business Consultant,Sales,10/8/2024,Agree,Strongly Disagree,Strongly Agree,Neutral,Neutral,Neutral,Strongly Agree,Disagree,Neutral,Agree,Strongly Agree
Aisha Thompson,18-24,Female,Middle Eastern,Data Analyst,Finance,10/12/2024,Agree,Agree,Strongly Disagree,Strongly Disagree,Disagree,Strongly Disagree,Disagree,Strongly Agree,Disagree,Agree,Strongly Agree
